"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"8600000US60651","ZCTA5 60651","63218","2544","10554","1397","32913","1589","168","126","306","165","0","26","17537","1755","1740","708","700","510","1040","487",
"8600000US60652","ZCTA5 60652","43907","1398","11948","1087","20699","1198","86","90","394","170","14","22","9412","1093","1354","478","594","355","760","457",
"8600000US60653","ZCTA5 60653","31972","1308","1670","335","29095","1313","94","61","427","189","0","23","106","64","580","149","39","32","541","148",
"8600000US60654","ZCTA5 60654","19135","896","14867","1077","1041","357","53","61","2407","482","0","17","157","103","610","253","35","38","575","252",
"8600000US60655","ZCTA5 60655","28804","735","25773","861","1976","427","0","20","421","273","0","20","353","248","281","139","5","8","276","138",
"8600000US60656","ZCTA5 60656","27579","1000","23178","1024","343","145","14","20","2042","417","11","19","1072","384","919","360","237","196","682","326",
"8600000US60657","ZCTA5 60657","70052","1345","60371","1414","1828","351","82","67","4889","601","37","44","621","199","2224","342","195","89","2029","330",
"8600000US60659","ZCTA5 60659","41068","1817","22066","1587","4153","812","321","291","10926","1241","18","28","1673","537","1911","603","267","145","1644","561",
"8600000US60660","ZCTA5 60660","43242","1271","28338","1190","6206","793","127","80","5636","563","7","14","1540","432","1388","282","242","106","1146","252",
"8600000US60661","ZCTA5 60661","9926","698","5687","584","357","137","0","15","3553","532","0","15","15","23","314","167","48","56","266","154",
"8600000US60706","ZCTA5 60706","23301","360","20597","671","189","104","17","21","1796","412","12","18","415","207","275","173","183","160","92","63",
"8600000US60707","ZCTA5 60707","43019","1277","31223","1448","3457","712","212","154","1683","512","0","23","5109","1012","1335","609","535","362","800","365",
"8600000US60712","ZCTA5 60712","12539","49","7525","361","322","258","18","29","3880","361","0","17","139","119","655","410","64","72","591","401",
"8600000US60714","ZCTA5 60714","29743","187","21904","780","944","437","27","34","5548","700","24","36","635","350","661","213","87","69","574","204",
"8600000US60803","ZCTA5 60803","22390","354","15359","867","4587","615","27","43","217","147","0","20","1593","635","607","310","294","224","313","197",
"8600000US60804","ZCTA5 60804","83147","42","31128","2025","3104","623","419","241","498","193","13","15","46916","2160","1069","419","891","396","178","92",
"8600000US60805","ZCTA5 60805","19666","33","13614","508","4908","478","0","17","145","163","0","17","632","316","367","185","90","80","277","158",
"8600000US60827","ZCTA5 60827","28577","653","1445","396","26242","809","26","41","46","50","0","20","239","198","579","387","23","24","556","384",
